ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
3700406,slgdajd,,,Cherry Picker PH,,,,Granville Avenue,,Stoke Poges Lane,,,,nr,,N,E0041745,Manor Park,Slough,,Slough,,Manor Park,,0,U,497388,181691,-0.597583853,51.52574696,BCT,MKD,OTH,,,,50,2004-03-17T00:00:00,2008-10-26T10:02:00,2,rev,act
3700407,slgdajg,,,Cherry Picker PH,,,,Hawthorne Crescent,,Stoke Poges Lane,,,,opp,,S,E0041745,Manor Park,Slough,,Slough,,Manor Park,,0,U,497374,181599,-0.597810993,51.52492241,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T16:56:00,3,rev,act
3700408,slgdajm,,,Stoke Poges Lane,,,,Stoke Poges Lane middle,,Stoke Poges Lane,,,,o/s 184,,N,N0072215,Baylis,Slough,,Slough,,Baylis,,0,U,497319,181365,-0.598668089,51.52282852,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2007-12-10T11:28:00,1,rev,act
3700409,slgdajp,,,Stoke Poges Lane,,,,Stoke Poges Lane middle,,Stoke Poges Lane,,,,o/s 137,,S,N0072215,Baylis,Slough,,Slough,,Baylis,,0,U,497329,181348,-0.598528689,51.52267399,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2007-12-10T11:28:00,1,rev,act
3700410,slgdajt,,,Lismore Park,en,,,allotments,en,Stoke Road,en,,,opp,en,S,N0072214,Elliman,Slough,,,,,,0,U,497947,181129,-0.589684765,51.52059875,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2011-11-03T09:27:59,2,rev,act
3700411,slgdajw,,,Lismore Park,en,,,allotments,en,Stoke Road,en,,,adj,en,N,N0072214,Elliman,Slough,,,,,,0,U,497935,181209,-0.589835455,51.52131992,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2011-11-03T09:30:12,3,rev,act
3700288,slgatjp,,,Paxton Avenue,,,,Paxton Avenue,,Keel Drive,,,,adj,,NW,E0041738,Chalvey,Slough,,Slough,,Chalvey,,0,U,496207,179553,-0.615185001,51.50673108,BCT,MKD,OTH,,,,50,2005-09-12T00:00:00,2008-12-14T17:41:00,5,rev,act
3700289,slgatjt,,,Paxton Avenue,,,,Paxton Avenue,,Keel Drive,,,,opp,,E,E0041738,Chalvey,Slough,,Slough,,Chalvey,,0,U,496275,179539,-0.614209342,51.50659367,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2008-02-05T23:41:00,3,rev,act
3700290,slgatjw,,,Chalvey Shopping Centre,,,,Ladbrooke Road,,High Street Chalvey,,,,W-bound,,W,E0041738,Chalvey,Slough,,Slough,,Chalvey,,0,U,496515,179356,-0.610802403,51.50490783,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T16:50:00,1,rev,act
3700291,slgatma,,,Chalvey Shopping Centre,,,,Spackmans Way,,High Street Chalvey,,,,E-bound,,E,E0041738,Chalvey,Slough,,Slough,,Chalvey,,0,U,496593,179382,-0.609671821,51.50512823,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T16:50:00,1,rev,act
